(﹁じ)/る/ら,–ら筿祇布秨ミ计秖,筿祇布–ら更ㄣ筿祇布ㄏノ计秖,筿祇布–ら秘计秖,稲み絏–ら筿祇布ぇ秘计秖,呼潦穨–ら筿祇布秨ミ计秖
2015/1/12,"12,247,726","1,325,280","78,468","77,204",561
2015/1/13,"12,328,225","1,352,932","109,382","107,293","1,334"
2015/1/14,"13,844,079","1,233,644","96,471","95,524","1,201"
2015/1/15,"11,738,285","1,153,423","92,510","91,142",395
2015/1/16,"11,461,909","1,139,681","85,562","84,443","2,075"
2015/1/17,"11,126,921","882,886","60,047","59,011",588
2015/1/18,"10,960,681","761,714","50,473","49,543",434
2015/1/19,"12,241,861","1,241,687","103,770","102,678",797
2015/1/20,"11,616,971","1,206,562","90,459","89,167",689
2015/1/21,"11,737,108","1,121,519","85,090","83,491","2,487"
2015/1/22,"11,377,639","1,110,482","90,031","88,733",429
2015/1/23,"11,201,308","1,072,843","80,135","78,658","2,459"
2015/1/24,"11,636,875","859,170","60,412","59,257",29
2015/1/25,"11,180,796","790,303","53,748","52,743",798
2015/1/26,"12,464,910","1,050,508","72,063","71,057",50
2015/1/27,"12,929,504","1,390,857","117,216","115,066",734
2015/1/28,"11,394,922","1,253,529","111,572","110,053","8,330"
2015/1/29,"11,414,841","1,141,260","91,976","90,766",454
2015/1/30,"11,607,925","1,038,943","79,670","78,206","3,710"
2015/1/31,"11,382,934","910,405","69,301","68,228","1,343"
2015/2/1,"11,410,959","1,037,335","73,398","72,377",13
2015/2/2,"11,913,209","1,052,846","84,170","82,679",56
2015/2/3,"11,788,127","1,231,306","89,234","87,344","3,078"
2015/2/4,"11,704,052","1,269,914","80,519","78,771","1,707"
2015/2/5,"11,291,469","1,203,198","88,909","87,305","1,619"
2015/2/6,"11,317,865","1,220,608","88,346","87,009","1,001"
2015/2/7,"12,010,337","916,031","62,496","61,309","1,255"
2015/2/8,"11,024,341","655,721","39,934","38,968",15
2015/2/9,"11,313,665","1,164,005","96,966","95,842","6,309"
2015/2/10,"13,170,393","1,465,000","125,423","124,001",975
2015/2/11,"11,992,570","1,297,404","105,822","104,017",860
2015/2/12,"11,997,491","1,316,776","96,432","94,697",523
2015/2/13,"12,309,722","1,283,819","104,042","101,913","4,396"
2015/2/14,"12,276,491","910,537","64,204","63,047",809
2015/2/15,"12,354,017","881,774","60,969","59,556","1,152"
2015/2/16,"13,624,991","1,278,602","113,816","112,209",784
2015/2/17,"13,923,561","1,296,841","91,670","89,852",766
2015/2/18,"13,002,391","889,709","66,474","65,283",11
2015/2/19,"11,329,995","694,346","39,791","38,739","2,857"
2015/2/20,"11,578,887","750,510","35,439","34,678",5
2015/2/21,"11,118,113","636,618","29,736","29,244",543
2015/2/22,"10,676,546","783,123","71,770","71,284",927
2015/2/23,"13,255,870","807,126","46,920","46,301",26
2015/2/24,"12,392,066","1,077,517","108,563","107,459","1,567"
2015/2/25,"11,193,144","1,063,504","94,232","92,301",791
2015/2/26,"13,393,928","1,399,163","106,566","104,489","2,226"
2015/2/27,"11,639,782","919,690","73,485","72,400","4,791"
2015/2/28,"11,331,311","830,361","67,432","66,530","1,277"
2015/3/1,"11,166,041","931,198","62,069","61,262",409
2015/3/2,"7,734,921","787,305","75,449","73,581",33
2015/3/3,"15,728,908","1,595,513","113,960","111,295","3,016"
2015/3/4,"11,931,055","1,287,476","88,041","86,510",667
2015/3/5,"11,593,993","1,321,747","100,705","98,913","1,366"
2015/3/6,"12,198,457","1,175,719","83,583","82,013","1,898"
2015/3/7,"11,693,174","871,804","60,005","59,056",37
2015/3/8,"11,811,075","862,785","58,345","57,457",19
2015/3/9,"12,396,743","1,136,578","103,685","102,658",26
2015/3/10,"12,463,688","1,308,163","93,767","91,755",756
2015/3/11,"11,749,610","1,155,374","87,104","85,693",387
2015/3/12,"11,734,187","1,324,760","85,087","83,471",459
2015/3/13,"12,303,870","1,224,379","83,324","81,955",621
2015/3/14,"12,331,647","900,612","57,176","56,229",8
2015/3/15,"12,562,159","856,757","48,650","47,789",2
2015/3/16,"12,811,461","1,172,508","92,757","91,730",12
2015/3/17,"12,545,079","1,299,188","96,223","94,822",740
2015/3/18,"12,443,769","1,190,699","85,927","84,657",432
2015/3/19,"12,648,589","1,169,072","84,032","82,824","2,520"
2015/3/20,"12,581,821","1,169,138","83,999","82,772","1,458"
2015/3/21,"12,264,892","889,178","55,852","54,812",563
2015/3/22,"11,789,558","904,099","57,596","56,718",430
2015/3/23,"10,997,801","1,158,249","91,878","90,803","1,066"
2015/3/24,"12,288,583","1,286,166","87,578","85,904","2,020"
2015/3/25,"11,229,324","1,082,325","84,029","82,804",566
2015/3/26,"11,661,648","1,111,894","84,940","83,602","2,680"
2015/3/27,"11,870,514","1,169,320","82,873","81,254","1,828"
2015/3/28,"11,769,765","916,222","62,437","61,441",491
2015/3/29,"12,960,533","891,663","57,632","56,788",523
2015/3/30,"12,986,161","1,169,825","90,506","89,390","1,029"
2015/3/31,"12,921,121","1,369,160","92,230","90,145","7,794"
2015/4/1,"12,775,512","1,258,370","89,409","87,616","1,165"
2015/4/2,"13,144,984","1,284,049","82,331","80,651","1,597"
2015/4/3,"13,152,808","1,061,628","66,996","65,992",674
2015/4/4,"12,839,166","1,015,171","48,655","47,674",0
2015/4/5,"12,813,750","973,498","49,834","49,081","1,381"
2015/4/6,"12,212,450","989,948","66,281","65,814","1,037"
2015/4/7,"13,160,787","1,175,158","78,091","76,791",18
2015/4/8,"12,785,417","1,510,644","91,703","89,437","4,590"
2015/4/9,"12,076,157","1,363,410","96,082","94,213","1,716"
2015/4/10,"12,038,116","1,293,749","87,166","85,609","16,433"
2015/4/11,"11,372,474","939,928","71,348","70,317","2,881"
2015/4/12,"11,480,770","837,808","56,057","55,060",1
2015/4/13,"12,753,279","1,206,138","71,735","70,407","2,097"
2015/4/14,"12,137,637","1,182,891","75,522","73,820",815
2015/4/15,"11,813,018","1,172,735","90,554","89,258","2,351"
2015/4/16,"12,465,740","1,162,936","115,306","113,983","1,257"
2015/4/17,"12,905,450","1,278,318","78,286","77,099","3,787"
2015/4/18,"12,843,754","1,103,948","70,240","69,103","1,143"
2015/4/19,"12,438,542","956,085","52,178","51,260",492
2015/4/20,"13,716,498","1,313,621","95,477","94,183","1,640"
2015/4/21,"12,235,188","1,559,710","110,962","109,181",727
2015/4/22,"11,843,658","1,271,522","77,343","75,989","1,611"
2015/4/23,"12,412,684","1,227,428","82,156","80,755","2,105"
2015/4/24,"12,467,232","1,245,412","75,591","74,007",776
2015/4/25,"12,592,292","1,013,252","64,760","63,605",9
2015/4/26,"12,772,875","1,005,516","63,533","62,545",16
2015/4/27,"13,176,136","1,178,958","84,880","83,499",9
2015/4/28,"12,852,395","1,451,848","94,506","92,681",872
2015/4/29,"12,887,472","1,349,641","92,500","90,879",469
2015/4/30,"14,077,221","1,324,073","89,322","88,107","2,267"
2015/5/1,"13,021,277","1,139,832","76,026","74,819",4
2015/5/2,"13,199,851","1,019,925","57,223","56,387","5,803"
2015/5/3,"12,858,162","950,777","54,333","53,421","2,072"
2015/5/4,"13,494,391","1,258,242","82,985","80,443",4
2015/5/5,"12,396,668","1,279,076","88,601","87,364","1,219"
2015/5/6,"12,934,627","1,392,370","92,378","89,945","5,448"
2015/5/7,"13,167,834","1,463,750","99,582","98,030","1,450"
2015/5/8,"13,235,186","1,296,544","92,440","90,856",875
2015/5/9,"13,213,900","964,383","68,514","67,389","1,679"
2015/5/10,"12,940,143","1,026,170","67,063","66,150",10
2015/5/11,"13,375,298","1,159,557","71,183","70,117",14
2015/5/12,"12,776,446","1,456,597","90,446","88,853","3,616"
2015/5/13,"13,515,965","1,379,058","90,198","88,895","2,395"
2015/5/14,"14,181,215","1,320,655","87,120","85,537","1,451"
2015/5/15,"13,892,970","1,300,102","82,599","81,285",849
2015/5/16,"13,628,149","1,117,443","72,644","71,641",18
2015/5/17,"13,444,109","1,017,884","59,200","58,388",6
2015/5/18,"13,785,305","1,248,577","79,389","78,356","4,157"
2015/5/19,"13,911,077","1,386,632","90,758","89,258",778
2015/5/20,"11,651,260","1,214,219","84,293","82,975",549
2015/5/21,"12,824,983","1,268,983","87,278","85,819",506
2015/5/22,"12,254,785","1,306,725","90,706","89,160","3,794"
2015/5/23,"12,024,113","991,577","71,317","70,347",12
2015/5/24,"11,310,853","882,297","58,224","57,424","2,195"
2015/5/25,"12,485,385","1,161,944","76,192","75,079","1,367"
2015/5/26,"12,580,077","1,322,389","93,679","91,947",849
2015/5/27,"12,838,892","1,315,830","94,901","93,762","2,269"
2015/5/28,"13,094,339","1,349,809","84,507","82,866",509
2015/5/29,"13,703,937","1,361,977","84,671","83,241","1,913"
2015/5/30,"13,752,347","1,037,110","67,361","66,620",841
2015/5/31,"13,055,242","1,071,207","65,197","64,552",824
2015/6/1,"13,745,976","1,314,443","79,601","77,071",811
2015/6/2,"13,790,727","1,329,251","90,034","88,461",882
2015/6/3,"13,278,410","1,418,631","86,243","84,582","1,512"
2015/6/4,"13,871,016","1,472,741","83,956","81,972","1,867"
2015/6/5,"14,050,027","1,416,124","87,993","86,712","2,579"
2015/6/6,"13,472,005","1,085,671","68,907","67,756",10
2015/6/7,"13,679,099","1,087,027","66,553","65,603",820
2015/6/8,"13,911,786","1,187,067","75,789","74,681","1,161"
2015/6/9,"14,108,306","1,469,086","87,534","86,205","2,030"
2015/6/10,"13,696,812","1,410,225","93,437","91,885","1,410"
2015/6/11,"14,694,642","1,258,229","71,690","70,218","1,310"
2015/6/12,"14,436,428","1,728,483","103,924","102,490","1,779"
2015/6/13,"14,497,625","1,163,943","73,416","72,534",4
2015/6/14,"13,570,043","1,016,217","61,658","60,802","1,713"
2015/6/15,"14,229,103","1,190,280","72,535","71,401",32
2015/6/16,"14,041,408","1,244,739","71,898","70,524",881
2015/6/17,"14,213,155","1,659,373","107,918","105,303","3,459"
2015/6/18,"14,209,974","1,284,271","78,584","77,265",705
2015/6/19,"14,256,645","1,183,187","78,202","76,796",11
2015/6/20,"13,537,386","990,301","60,057","58,951",10
2015/6/21,"13,021,787","958,521","52,067","51,137",10
2015/6/22,"13,933,916","1,283,308","88,880","87,534",10
2015/6/23,"13,891,993","1,387,476","84,994","82,946","1,002"
2015/6/24,"14,078,333","1,372,620","86,198","84,855",560
2015/6/25,"14,493,186","1,362,966","86,955","85,453",107
2015/6/26,"14,601,317","1,360,962","80,550","79,092",75
2015/6/27,"14,134,831","1,249,414","74,919","73,719",2
2015/6/28,"13,410,814","1,002,830","57,511","56,499",3
2015/6/29,"14,794,305","1,280,043","80,275","78,831",34
2015/6/30,"14,829,772","1,430,912","81,466","79,297","2,367"
2015/7/1,"14,723,577","1,414,537","78,497","76,532",560
2015/7/2,"14,053,140","1,415,701","140,114","138,762","10,837"
2015/7/3,"14,219,725","1,340,620","83,733","82,294","1,405"
2015/7/4,"13,651,373","1,161,839","62,768","61,611","1,541"
2015/7/5,"14,202,641","1,025,976","63,020","62,022","1,071"
2015/7/6,"14,663,049","1,345,411","92,921","91,380",48
2015/7/7,"13,996,999","1,522,113","90,966","89,114","9,631"
2015/7/8,"13,557,590","1,412,179","96,084","94,539","6,227"
2015/7/9,"13,471,434","1,336,335","91,206","89,514",741
2015/7/10,"12,523,379","1,097,452","75,225","74,171","1,435"
2015/7/11,"12,839,318","1,073,410","64,185","63,182",17
2015/7/12,"13,129,183","985,574","65,089","64,296","5,226"
2015/7/13,"14,403,233","1,381,711","100,162","98,823",17
2015/7/14,"14,481,110","1,479,138","96,019","94,290","4,236"
2015/7/15,"14,637,069","1,318,514","84,883","83,067","4,903"
2015/7/16,"12,992,069","1,271,665","87,224","85,955",715
2015/7/17,"15,056,019","1,451,264","86,968","85,601","2,639"
2015/7/18,"13,907,301","1,139,075","69,717","68,629",34
2015/7/19,"12,929,504","937,239","52,281","51,338","1,937"
2015/7/20,"13,580,425","1,258,344","95,015","93,841","1,118"
2015/7/21,"13,865,722","1,461,643","82,771","81,368","1,181"
2015/7/22,"13,785,573","1,364,680","90,116","88,528","1,705"
2015/7/23,"13,478,501","1,283,904","83,797","82,372",737
2015/7/24,"13,613,246","1,317,979","90,751","89,337","3,441"
2015/7/25,"13,649,824","1,096,958","63,407","62,225",14
2015/7/26,"13,537,232","971,932","54,034","53,017","1,378"
2015/7/27,"14,265,071","1,247,705","89,220","88,122","1,623"
2015/7/28,"13,671,428","1,412,687","90,239","88,294","1,095"
2015/7/29,"13,039,721","1,382,874","91,190","89,774","2,803"
2015/7/30,"14,338,980","1,365,388","95,834","94,411","1,668"
2015/7/31,"14,190,430","1,342,316","86,082","84,634","1,785"
2015/8/1,"14,108,929","1,162,582","66,685","65,514",15
2015/8/2,"13,702,030","1,109,035","62,886","61,920","1,113"
2015/8/3,"14,243,930","1,219,339","81,395","79,351",21
2015/8/4,"14,599,518","1,538,005","94,819","93,195","3,744"
2015/8/5,"13,983,243","1,453,118","95,312","93,331",628
2015/8/6,"14,992,175","1,503,456","98,768","96,834","3,240"
2015/8/7,"14,688,740","1,412,804","88,116","86,285","1,052"
2015/8/8,"10,101,340","799,406","62,842","61,749",21
2015/8/9,"11,639,483","878,979","45,264","44,614",13
2015/8/10,"14,669,229","1,355,749","71,466","69,777",20
2015/8/11,"15,145,460","1,516,260","110,527","108,731",931
2015/8/12,"15,080,656","1,540,189","102,531","100,868",879
2015/8/13,"14,005,482","1,321,308","81,763","80,310","3,940"
2015/8/14,"13,611,696","1,367,169","99,263","97,730","5,717"
2015/8/15,"14,171,730","1,152,796","73,692","72,468",18
2015/8/16,"12,849,759","992,031","60,848","59,828",8
2015/8/17,"14,057,092","1,239,104","86,327","85,062",28
2015/8/18,"13,551,763","1,409,949","89,245","87,665","6,010"
2015/8/19,"14,107,003","1,362,054","88,151","86,796",772
2015/8/20,"14,406,804","1,208,606","80,388","78,961",748
2015/8/21,"13,567,861","1,387,053","98,180","96,587","3,714"
2015/8/22,"11,018,750","920,248","66,277","65,149",395
2015/8/23,"16,290,441","1,220,794","68,418","67,405",421
2015/8/24,"14,265,494","1,288,706","84,742","83,104",18
2015/8/25,"14,019,523","1,365,493","89,555","87,785",903
2015/8/26,"13,221,646","1,296,764","83,214","81,775","2,251"
2015/8/27,"12,614,293","1,319,459","94,189","92,443",567
2015/8/28,"12,382,750","1,206,045","82,836","81,468","1,029"
2015/8/29,"11,455,400","910,342","63,815","62,607",12
