(﹁じ)/る/ら,–ら筿祇布秨ミ计秖,筿祇布–ら更ㄣ筿祇布ㄏノ计秖,筿祇布–ら秘计秖,稲み絏–ら筿祇布ぇ秘计秖,呼潦穨–ら筿祇布秨ミ计秖
2015/12/9,"13,805,731","1,495,388","100,679","100,545","2,246"
2015/12/10,"13,196,889","1,357,630","88,872","88,802",637
2015/12/11,"14,017,161","1,445,099","91,446","91,369","2,621"
2015/12/12,"13,321,079","1,107,273","75,897","75,827",592
2015/12/13,"13,534,344","1,070,247","60,100","60,037",404
2015/12/14,"15,266,377","1,493,889","84,894","84,818",795
2015/12/15,"13,451,829","1,380,050","92,081","91,968","1,571"
2015/12/16,"13,449,599","1,349,371","93,776","93,634","1,178"
2015/12/17,"13,404,321","1,415,708","96,918","96,806","1,450"
2015/12/18,"13,339,197","1,335,119","98,175","97,764","1,644"
2015/12/19,"13,241,438","1,140,968","78,719","78,494",404
2015/12/20,"14,079,011","970,975","62,191","62,171",266
2015/12/21,"15,117,651","1,363,058","87,697","87,546","17,612"
2015/12/22,"13,899,714","1,459,136","97,069","96,930","1,611"
2015/12/23,"14,504,149","1,396,536","90,461","90,373","1,267"
2015/12/24,"14,101,975","1,349,384","92,251","92,201","1,117"
2015/12/25,"14,118,326","1,408,887","88,714","88,584","1,606"
2015/12/26,"13,378,517","1,153,463","81,350","81,308",439
2015/12/27,"12,565,339","911,232","59,089","59,056",490
2015/12/28,"13,653,966","1,239,101","87,184","87,096",694
2015/12/29,"13,695,832","1,483,146","91,512","91,436","5,049"
2015/12/30,"13,742,040","1,374,039","86,836","86,691","1,057"
2015/12/31,"14,574,027","1,527,971","105,197","105,075","1,366"
2016/1/1,"14,216,943","1,309,040","74,254","74,231",13
2016/1/2,"12,067,503","920,108","54,808","54,791","1,138"
2016/1/3,"12,365,098","878,161","51,176","51,134",354
2016/1/4,"15,629,797","1,167,598","82,669","82,576","1,004"
2016/1/5,"15,596,622","2,277,021","91,338","91,316","1,597"
2016/1/6,"14,016,514","2,081,557","88,387","88,333","2,714"
2016/1/7,"15,771,729","2,831,947","97,966","97,956","3,572"
2016/1/8,"13,974,491","2,033,726","87,337","87,278","1,351"
2016/1/9,"14,189,604","1,376,906","76,253","76,219",289
2016/1/10,"14,541,924","1,108,965","69,715","69,699",335
2016/1/11,"13,912,508","1,583,916","82,306","82,267","1,364"
2016/1/12,"19,176,834","2,558,730","80,449","80,416","2,038"
2016/1/13,"9,336,701","1,604,828","61,137","61,108","2,127"
2016/1/14,"24,319,789","4,137,599","125,666","125,546","2,239"
2016/1/15,"15,089,284","3,184,972","91,041","91,009","1,445"
2016/1/16,"14,204,848","1,705,583","72,700","72,669","1,478"
2016/1/17,"13,200,727","1,155,275","60,577","60,526",364
2016/1/18,"14,792,820","2,256,660","79,418","79,366","3,633"
2016/1/19,"14,698,805","3,162,954","92,250","92,199","2,079"
2016/1/20,"15,217,745","2,164,224","87,016","86,947","2,619"
2016/1/21,"14,950,132","2,277,631","90,284","90,260","2,468"
2016/1/22,"15,495,121","4,013,593","91,189","91,030","2,764"
2016/1/23,"12,971,140","2,025,806","81,493","81,464",867
2016/1/24,"12,152,865","1,059,254","64,212","64,161",420
2016/1/25,"13,571,636","1,475,132","88,002","87,927",636
2016/1/26,"17,777,482","4,243,528","93,603","93,576","2,125"
2016/1/27,"17,941,664","5,101,561","87,777","87,415","1,118"
2016/1/28,"16,667,577","3,378,605","109,029","108,993","1,788"
2016/1/29,"14,080,557","2,596,155","97,807","97,582","1,546"
2016/1/30,"14,291,476","1,906,144","89,113","89,089","1,119"
2016/1/31,"14,705,936","1,635,487","73,209","73,186",14
2016/2/1,"15,102,850","1,843,403","83,068","82,884","5,752"
2016/2/2,"16,076,458","3,026,981","97,492","97,445",962
2016/2/3,"15,739,835","3,114,193","91,092","90,954",640
2016/2/4,"14,142,078","2,940,769","93,840","93,805",782
2016/2/5,"16,069,842","2,709,250","90,634","90,620",427
2016/2/6,"17,691,577","2,574,086","89,656","89,612",583
2016/2/7,"15,044,614","1,335,112","56,812","56,771",9
2016/2/8,"13,039,079","1,243,975","47,608","47,582",8
2016/2/9,"13,152,035","921,582","42,526","42,492",8
2016/2/10,"12,487,656","863,196","39,264","39,225","2,370"
2016/2/11,"13,341,727","854,942","44,007","43,977",325
2016/2/12,"14,063,571","913,497","49,716","49,680",271
2016/2/13,"14,439,607","928,586","55,130","55,093",306
2016/2/14,"13,581,095","912,227","51,937","51,924",15
2016/2/15,"13,671,711","4,044,776","82,757","82,720","1,207"
2016/2/16,"24,159,641","5,669,232","147,692","147,589","1,878"
2016/2/17,"15,299,062","3,305,912","108,810","108,754","1,277"
2016/2/18,"14,703,222","3,533,078","105,963","105,883",551
2016/2/19,"16,058,453","3,698,202","92,018","91,975",793
2016/2/20,"16,064,186","4,049,883","72,980","72,908",217
2016/2/21,"14,854,883","1,825,213","57,996","57,966",17
2016/2/22,"15,234,329","1,644,025","102,907","102,798",865
2016/2/23,"16,309,824","3,651,895","92,131","92,105","1,440"
2016/2/24,"15,023,425","2,966,353","85,512","85,448","6,405"
2016/2/25,"15,106,716","3,586,718","93,502","93,438",690
2016/2/26,"14,727,248","2,508,792","84,042","83,996","1,099"
2016/2/27,"14,718,338","2,582,046","78,581","78,508",254
2016/2/28,"14,875,724","2,077,979","65,015","64,999",137
2016/2/29,"14,904,274","2,054,638","56,726","56,685",621
2016/3/1,"16,006,681","2,290,517","89,338","89,312","2,709"
2016/3/2,"17,738,285","5,119,273","106,384","106,316","1,698"
2016/3/3,"17,917,444","5,394,568","85,168","85,120",713
2016/3/4,"14,017,946","2,398,752","88,604","88,550","1,506"
2016/3/5,"21,080,441","6,591,759","67,329","67,288",28
2016/3/6,"15,630,277","1,388,424","54,707","54,669",415
2016/3/7,"15,862,933","1,958,706","91,340","91,267",204
2016/3/8,"17,821,582","4,142,479","98,156","98,082","1,894"
2016/3/9,"16,964,509","3,976,247","97,341","97,257","1,562"
2016/3/10,"14,277,810","2,818,911","82,991","82,890",805
2016/3/11,"14,588,108","2,758,973","89,408","89,354","1,242"
2016/3/12,"15,944,642","3,571,742","64,240","64,215",298
2016/3/13,"14,154,854","1,380,007","70,773","70,752",422
2016/3/14,"15,489,793","1,825,779","85,362","85,313","7,105"
2016/3/15,"15,493,798","3,433,355","96,010","95,939","4,676"
2016/3/16,"14,337,037","3,067,369","86,173","86,116",749
2016/3/17,"16,249,852","3,393,157","89,039","88,748","3,489"
2016/3/18,"16,753,842","3,982,604","87,362","87,274","1,921"
2016/3/19,"15,549,657","2,756,964","74,887","74,850",337
2016/3/20,"14,730,294","1,369,052","66,055","66,013",606
2016/3/21,"14,992,175","1,965,221","89,137","89,110","1,694"
2016/3/22,"15,642,735","3,420,067","91,665","91,582","2,642"
2016/3/23,"15,532,847","3,015,671","84,944","84,840","1,503"
2016/3/24,"14,381,119","2,832,249","104,262","104,231","1,414"
2016/3/25,"14,363,802","2,581,764","86,376","86,312","1,591"
2016/3/26,"14,979,297","1,926,148","74,862","74,847",377
2016/3/27,"14,663,889","1,303,374","61,475","61,401",254
2016/3/28,"16,016,607","1,964,344","76,703","76,669","4,258"
2016/3/29,"16,666,040","3,389,921","89,538","89,485","2,347"
2016/3/30,"15,655,764","3,837,384","93,412","93,299",623
2016/3/31,"18,132,694","4,304,665","96,762","96,664","4,102"
2016/4/1,"16,489,281","2,452,269","86,171","86,019","2,147"
2016/4/2,"17,174,287","3,066,368","66,823","66,812",593
2016/4/3,"15,650,543","1,506,276","65,715","65,706","1,035"
2016/4/4,"14,829,986","1,186,446","52,157","52,146",19
2016/4/5,"15,070,288","1,292,096","58,143","58,125","1,783"
2016/4/6,"16,790,464","1,736,366","98,564","98,506","2,164"
2016/4/7,"18,935,860","4,839,838","97,449","97,189","3,044"
2016/4/8,"17,555,113","3,530,489","105,105","104,591","2,404"
2016/4/9,"17,283,892","3,162,877","77,370","76,824",23
2016/4/10,"15,216,588","1,567,725","60,588","60,528",392
2016/4/11,"14,953,178","1,939,862","89,025","88,816",444
2016/4/12,"16,451,987","3,151,733","98,881","98,795","2,355"
2016/4/13,"15,400,320","2,965,885","94,763","94,710","2,737"
2016/4/14,"15,765,040","3,134,204","107,131","106,403","1,539"
2016/4/15,"16,367,931","3,479,149","95,512","95,313","1,946"
2016/4/16,"15,735,997","2,080,301","72,861","72,574",708
2016/4/17,"14,634,379","1,416,013","60,460","60,442",419
2016/4/18,"16,647,768","1,847,541","89,706","89,577","4,550"
2016/4/19,"19,225,957","5,395,162","92,800","92,621",901
2016/4/20,"16,649,562","2,622,242","81,367","81,317","2,980"
2016/4/21,"16,804,704","2,890,983","87,165","87,080","1,580"
2016/4/22,"17,172,870","2,887,118","90,345","90,258","1,541"
2016/4/23,"16,009,665","2,252,194","71,331","71,292",512
2016/4/24,"15,726,538","1,444,361","62,273","62,192","1,155"
2016/4/25,"16,275,028","1,710,792","80,630","80,545",974
2016/4/26,"19,011,467","4,519,504","92,127","92,088","1,761"
2016/4/27,"16,475,657","4,118,040","91,088","91,024","2,124"
2016/4/28,"19,413,352","4,718,297","93,828","93,778","1,786"
2016/4/29,"16,167,612","2,337,293","87,901","87,813","1,888"
2016/4/30,"16,284,221","1,762,080","70,343","70,268",23
2016/5/1,"15,885,614","1,685,004","65,839","65,795",14
2016/5/2,"16,690,880","1,504,503","58,516","58,446",12
2016/5/3,"17,109,347","2,519,401","93,025","92,938","6,408"
2016/5/4,"18,230,400","4,059,238","92,601","92,540",8
2016/5/5,"16,932,721","3,129,584","86,599","86,540",113
2016/5/6,"18,488,450","3,661,113","105,170","105,107",26
2016/5/7,"18,014,234","3,483,775","72,380","72,306",16
2016/5/8,"16,908,037","1,706,744","63,846","63,743",2
2016/5/9,"17,414,111","2,047,887","80,524","80,443","2,282"
2016/5/10,"19,242,365","2,991,367","93,465","93,364",4
2016/5/11,"16,767,753","3,100,988","86,173","86,082",27
2016/5/12,"17,650,643","3,562,564","90,916","90,834",25
2016/5/13,"18,378,287","3,499,885","92,333","92,172",14
2016/5/14,"17,025,953","1,880,712","72,442","72,372",8
2016/5/15,"17,121,891","1,494,926","57,628","57,581",8
2016/5/16,"17,040,395","2,071,109","83,091","83,053",25
2016/5/17,"16,739,353","3,293,759","117,297","117,171","3,087"
2016/5/18,"17,266,935","3,652,328","88,686","88,636",8
2016/5/19,"17,438,971","3,644,137","88,690","88,566",15
2016/5/20,"16,865,931","2,535,892","90,457","90,397",9
2016/5/21,"16,289,760","2,191,425","67,023","66,963",8
2016/5/22,"15,483,769","1,331,012","57,924","57,870",9
2016/5/23,"16,747,894","1,892,406","78,391","78,300",7
2016/5/24,"17,056,353","3,555,555","94,129","94,015","3,902"
2016/5/25,"17,644,363","3,478,998","93,089","92,586",12
2016/5/26,"17,628,867","3,504,939","92,313","92,245",25
2016/5/27,"16,828,207","3,810,719","85,565","85,466",119
2016/5/28,"19,879,673","4,274,597","72,944","72,877",7
2016/5/29,"17,851,643","1,598,629","62,742","62,621",3
2016/5/30,"17,227,624","1,834,310","108,937","108,745","3,522"
2016/5/31,"18,729,951","2,949,252","85,670","85,361",10
2016/6/1,"17,511,006","3,297,574","83,864","83,760",11
2016/6/2,"18,751,449","3,173,599","102,343","102,312",35
2016/6/3,"17,658,939","3,021,776","89,351","89,268",17
2016/6/4,"19,827,125","2,452,582","82,521","82,363",16
2016/6/5,"16,899,306","1,790,532","67,242","67,122",2
2016/6/6,"17,149,021","1,840,870","76,719","76,673",2
2016/6/7,"18,842,143","3,571,553","94,798","94,711",2
2016/6/8,"19,362,408","4,247,170","99,689","99,527",38
2016/6/9,"17,029,625","2,235,696","78,110","78,013",2
2016/6/10,"15,141,538","1,673,116","65,479","65,450",1
2016/6/11,"15,183,263","1,464,028","55,676","55,643",2
2016/6/12,"16,245,388","1,361,272","60,216","60,178",0
2016/6/13,"16,308,925","1,856,556","89,305","89,257","4,460"
2016/6/14,"17,555,377","3,552,775","113,793","113,349",0
2016/6/15,"18,465,676","3,650,842","98,115","98,053",79
2016/6/16,"18,710,186","3,638,597","91,837","91,773",31
2016/6/17,"19,246,825","4,523,437","95,295","95,204",13
2016/6/18,"17,180,882","2,866,397","77,559","77,534",4
2016/6/19,"15,947,216","1,445,767","62,843","62,683",3
2016/6/20,"19,256,848","2,141,359","91,909","91,851",7
2016/6/21,"18,822,625","3,016,521","92,572","92,495",5
2016/6/22,"19,000,475","3,189,745","91,457","91,363",8
2016/6/23,"18,224,887","3,147,551","90,506","90,443",6
2016/6/24,"18,158,126","3,239,070","90,814","90,738",14
2016/6/25,"18,104,351","2,328,049","70,695","70,596",2
2016/6/26,"17,228,891","1,510,858","57,792","57,680",5
2016/6/27,"18,003,602","2,056,555","92,779","92,719",1
2016/6/28,"18,341,345","3,752,712","100,925","100,830",12
2016/6/29,"16,752,950","2,773,482","89,927","89,880",6
2016/6/30,"22,810,690","5,604,576","98,077","98,026",4
2016/7/1,"18,652,764","3,050,301","94,832","94,649",8
2016/7/2,"18,023,363","2,740,052","74,017","73,872",9
2016/7/3,"16,983,897","1,499,298","59,406","59,342",0
2016/7/4,"17,965,819","2,417,925","76,819","76,755",6
2016/7/5,"19,249,874","3,380,858","100,498","100,396",5
2016/7/6,"19,584,791","3,755,671","94,588","94,515",9
2016/7/7,"20,493,508","4,125,303","91,807","91,703",6
2016/7/8,"15,208,416","2,218,467","67,360","67,342",7
2016/7/9,"14,667,351","1,697,550","65,350","65,292",5
2016/7/10,"15,008,803","1,260,595","64,493","64,475",3
2016/7/11,"17,450,635","2,071,672","110,559","110,409",8
2016/7/12,"18,040,287","2,908,261","92,574","92,464",7
2016/7/13,"19,067,322","3,899,089","102,977","102,860",7
2016/7/14,"17,809,816","2,946,845","93,218","93,136",4
2016/7/15,"18,395,294","3,386,087","94,602","94,526",14
2016/7/16,"17,482,315","2,225,060","61,660","61,552",15
2016/7/17,"16,499,642","1,606,822","58,640","58,593",9
2016/7/18,"17,989,319","2,490,942","94,817","94,671",6
2016/7/19,"20,390,976","5,005,623","91,080","90,942",7
2016/7/20,"17,845,018","2,810,972","91,446","91,328",21
2016/7/21,"17,692,639","2,762,272","99,823","99,728",20
2016/7/22,"18,364,313","3,099,217","87,804","87,589",16
2016/7/23,"18,215,457","2,183,199","62,863","62,701",12
2016/7/24,"17,381,323","1,533,839","60,053","59,970",6
2016/7/25,"18,723,593","2,524,346","99,256","99,161",3
2016/7/26,"20,436,346","3,892,072","126,977","126,874",13
2016/7/27,"19,191,950","3,906,485","90,575","90,506",10
2016/7/28,"21,348,077","5,035,032","217,451","217,224",7
2016/7/29,"19,148,918","2,555,163","99,276","98,908",17
2016/7/30,"17,679,927","2,029,197","125,123","124,959",4
2016/7/31,"16,929,194","1,571,076","139,744","139,671",6
2016/8/1,"18,915,294","2,600,425","151,687","151,628",8
2016/8/2,"18,307,680","3,415,637","242,349","242,266",8
2016/8/3,"19,543,690","3,614,448","302,448","302,280",6
2016/8/4,"17,827,437","2,879,131","397,961","397,876",16
2016/8/5,"18,344,314","2,915,783","102,748","102,662",18
2016/8/6,"18,099,329","2,248,273","72,488","72,338",13
2016/8/7,"17,203,932","1,631,487","60,798","60,752",3
2016/8/8,"19,100,942","2,645,043","87,073","87,050",5
2016/8/9,"19,665,041","4,235,807","104,809","104,699",6
2016/8/10,"19,166,527","3,099,858","188,963","188,876",8
2016/8/11,"17,769,310","2,969,639","90,467","90,430",13
2016/8/12,"19,092,146","4,061,261","92,862","92,827",15
2016/8/13,"17,109,139","2,154,255","70,574","70,467",13
2016/8/14,"17,201,220","1,531,345","61,707","61,664",6
2016/8/15,"18,872,387","2,112,319","96,798","96,696",8
2016/8/16,"18,421,844","3,175,880","91,455","91,325",14
2016/8/17,"18,109,621","3,589,754","97,151","97,065",5
2016/8/18,"17,232,726","2,755,255","91,674","91,639",16
2016/8/19,"18,105,653","3,358,843","93,895","93,801",7
2016/8/20,"17,025,547","1,976,806","66,719","66,686",10
2016/8/21,"17,216,808","1,452,183","59,002","58,950",4
2016/8/22,"17,325,289","2,040,726","97,730","97,675",1
2016/8/23,"16,059,405","3,297,886","84,552","84,455",2
2016/8/24,"21,109,365","3,796,004","89,675","89,598",0
2016/8/25,"17,591,787","2,854,731","87,813","87,676",0
2016/8/26,"19,658,597","3,564,670","92,588","92,530",0
2016/8/27,"17,434,472","3,364,602","65,550","65,460",0
2016/8/28,"18,645,908","2,737,123","63,916","63,886",0
2016/8/29,"17,907,782","2,045,359","104,278","104,198",3
2016/8/30,"17,521,937","2,831,686","104,310","104,222",0
2016/8/31,"17,613,373","2,936,940","88,940","88,895",0
2016/9/1,"17,596,082","2,624,621","83,493","83,430",2
2016/9/2,"18,648,376","4,183,408","94,816","94,710",8
2016/9/3,"16,465,172","1,873,958","62,953","62,925",0
2016/9/4,"16,573,535","1,455,538","57,537","57,481",0
2016/9/5,"17,943,386","2,198,608","84,183","84,145",32
2016/9/6,"17,958,621","3,465,566","83,290","82,795",9
2016/9/7,"18,075,006","3,820,631","88,106","87,861",5
2016/9/8,"17,088,893","2,757,208","124,548","124,459",2
2016/9/9,"16,488,277","2,228,660","79,576","79,488",28
2016/9/10,"17,355,704","2,197,616","91,909","91,842",3
2016/9/11,"17,783,002","2,138,939","62,965","62,908",0
2016/9/12,"18,921,012","2,358,118","97,615","97,504",67
2016/9/13,"20,000,010","4,138,843","90,885","90,812",25
2016/9/14,"16,256,760","2,553,034","85,770","85,660",14
2016/9/15,"15,296,746","1,966,619","78,691","78,629",0
2016/9/16,"16,840,627","1,428,227","61,532","61,503",0
2016/9/17,"15,548,961","1,186,965","56,919","56,871",0
2016/9/18,"15,282,075","1,200,192","58,649","58,626",0
2016/9/19,"17,878,432","2,424,692","101,060","100,906",93
2016/9/20,"18,317,407","3,533,310","93,517","93,353",25
2016/9/21,"18,446,835","4,305,153","98,655","98,483",24
2016/9/22,"17,692,919","3,047,297","88,865","88,811",16
2016/9/23,"17,987,688","3,138,851","90,429","90,285",28
2016/9/24,"17,819,336","2,322,695","73,465","73,378",0
